,I+,I-,A,R
2014-09-03,0.0,1.0,0.0,0.0
2014-09-04,0.0,0.9945054945054945,0.0,0.005494505494505495
2014-09-05,0.0,0.9890411786016182,0.0,0.010958821398381838
2014-09-06,0.0,0.9836068864114994,0.0,0.01639311358850062
2014-09-07,0.0,0.978202452969678,0.0,0.021797547030322044
2014-09-08,0.0,0.9728277142170974,0.0,0.02717228578290269
2014-09-09,0.0,0.9674825069961243,0.0,0.032517493003875755
2014-09-10,0.0,0.9621666690455961,0.0,0.03783333095440391
2014-09-11,0.0,0.956880038995895,0.0,0.043119961004104986
2014-09-12,0.0,0.9516224563640495,0.0,0.048377543635950565
2014-09-13,0.0,0.9463937615488625,0.0,0.05360623845113765
2014-09-14,0.0,0.9411937958260665,0.0,0.0588062041739336
2014-09-15,0.0,1.9360224013435057,0.0,0.0639775986564944
2014-09-16,0.0,1.9253849156218381,0.0,0.07461508437816201
2014-09-17,0.0,1.914805877623916,0.0,0.0851941223760842
2014-09-18,0.0,1.9042849662084,0.0,0.09571503379160022
2014-09-19,0.0,1.8938218619984637,0.0,0.10617813800153648
2014-09-20,0.0,1.8834162473720986,0.0,0.11658375262790167
2014-09-21,0.0,1.8730678064524715,0.0,0.12693219354752858
2014-09-22,1.0,1.862776225098337,0.0,0.13722377490166304
2014-09-23,0.9945054945054945,1.8525411908945002,0.0,0.15295331460000555
2014-09-24,0.9890411786016182,1.8423623931423325,0.0,0.16859642825604948
2014-09-25,0.9836068864114994,1.8322395228503419,0.0,0.1841535907381591
2014-09-26,0.978202452969678,1.8221722727247907,0.0,0.19962527430553184
2014-09-27,0.9728277142170974,1.8121603371603685,0.0,0.21501194862253442
2014-09-28,0.9674825069961243,1.802203412230916,0.0,0.23031408077296006
2014-09-29,0.9621666690455961,2.7923011956801966,0.0,0.24553213527420753
2014-09-30,0.956880038995895,2.7769588814182176,0.0,0.26616107958588775
2014-10-01,0.9516224563640495,2.7617008655862496,0.0,0.28667667804970154
2014-10-02,0.9463937615488625,2.7465266850061054,0.0,0.30707955344503285
2014-10-03,0.9411937958260665,3.7314358790445334,0.0,0.32737032512940084
2014-10-04,0.9360224013435057,3.710933484104728,0.0,0.35304411455176676
2014-10-05,0.9308794211163436,6.69054373968657,4.0,0.37857683919708673
2014-10-06,0.9257646990222977,6.653782510347632,3.978021978021978,0.44243081260809175
2014-10-07,0.9206780797969004,6.617223265785283,3.956164714406473,0.505933940011344
2014-10-08,0.9156194090287856,6.580864896193057,3.9344275456459976,0.5690881491321608
2014-10-09,0.9105885331550011,6.544706297862325,3.912809811878712,0.6318953571039622
2014-10-10,0.9055852994563472,6.508746373148796,3.8913108568683894,0.6943574705264679
2014-10-11,0.9006095560527411,6.472984030439187,3.869930027984497,0.7564763855235752
2014-10-12,0.8956611518986052,6.437418184118092,3.8486666761823844,0.8182539878009181
2014-10-13,0.8907399367782832,6.402047754535026,3.82752015598358,0.8796921527031109
2014-10-14,0.8858457613014794,6.366871667971647,3.806489825456198,0.9407927452706761
2014-10-15,0.880978476898724,6.331888856609165,3.78557504619545,1.0015576202966614
2014-10-16,0.876137935816863,6.297098258495928,3.764775183304266,1.0619886223829436
2014-10-17,0.8713239911145725,6.262498817515181,3.7440896053740227,1.122087585996224
2014-10-18,0.866536496657899,6.22808948335301,3.7235176844653743,1.1818563355237175
2014-10-19,0.8617753071158227,6.193869211466455,3.703058796089191,1.241296685328532
2014-10-20,0.8570402779558457,6.159836963051804,3.6827123191876017,1.300410439804749
2014-10-21,0.8523312654396048,6.125991705013059,3.6624776361151423,1.3591993934321955
2014-10-22,0.8476481266185081,6.09233240993057,3.6423541326200044,1.41766533083092
2014-10-23,0.8429907193293954,6.058858056029853,3.622341197825389,1.4758100268153655
2014-10-24,0.8383589021902229,6.0255676271505685,3.6024382242109643,1.5336352464482483
2014-10-25,0.833752534595771,5.992460112715675,3.5826446075944207,1.5911427450941371
2014-10-26,0.8291714767133767,5.959534507700755,3.562959747113133,1.648334268472741
2014-10-27,0.8246155894786877,5.926789812603498,3.5433830452059176,1.7052115527119018
2014-10-28,0.8200847345914422,5.894225033413369,3.523913907594896,1.761776324400298
2014-10-29,0.8155787745112695,5.861839181581427,3.504551743267452,1.8180303006398566
2014-10-30,0.8110975724535152,5.82963127399032,3.48529596445829,1.8739751890978795
2014-10-31,0.8066409923850892,5.797600332924439,3.466145986631596,1.9296126880588802
2014-11-01,0.802208899020336,5.765745386040239,3.447101228463291,1.9849444864761392
2014-11-02,0.7978011578169275,5.734065466336721,3.428161111823383,2.0399722640229734
2014-11-03,0.7934176349717795,6.70255961212608,4.40932506175842,2.0946976911437263
